Error_Code,Car_Model,Symptoms,Root_Cause,Solution
P0401,Ford Escape 2019,چراغ چک، پینگ موتور در شتاب,جریان ناکافی گازهای EGR، گرفتگی شیر EGR یا مسیرها,تمیز کردن شیر EGR و لوله‌ها، تعویض شیر در صورت نیاز
P0507,Volkswagen Golf 2018,دور موتور بالا درجا، چراغ چک,نشتی هوا در منیفولد ورودی، دریچه گاز کثیف,تمیز کردن بدنه دریچه گاز، پیدا و رفع نشتی خلاء
P0606,Audi A4 2017,موتور خاموش می‌شود، چراغ چک و EPC,خطای داخلی پردازنده ECM,به‌روزرسانی نرم‌افزار ECM، در صورت لزوم تعویض ECM و برنامه‌ریزی
P2187,Mazda 3 2019,چراغ چک، لرزش درجا، شتاب ضعیف,مخلوط بیش از حد فقیر در حالت درجا، نشت خلاء,بازرسی و رفع نشت خلاء، تعویض واشر منیفولد ورودی
P0131,Toyota RAV4 2020,روشن شدن چراغ چک، مصرف سوخت بالا,ولتاژ پایین سنسور اکسیژن بانک ۱ سنسور ۱، اتصالی به زمین,تعویض سنسور O2، بررسی سیم‌کشی
P0325,Kia Optima 2018,چراغ چک، کاهش قدرت,خرابی سنسور ناک (Knock Sensor)، اتصالات شل,تعویض سنسور ناک، بررسی سیم‌کشی
P0335,Hyundai Santa Fe 2019,استارت نخوردن موتور، خاموش شدن ناگهانی,سنسور موقعیت میل‌لنگ معیوب,تعویض سنسور CPS
P0340,BMW 528i 2015,مشکل در استارت، چراغ چک,خرابی سنسور موقعیت میل سوپاپ,تعویض سنسور CMP
P0446,Lexus ES350 2016,چراغ چک,مشکل در مدار شیر کنترل تخلیه EVAP,تعویض شیر کنترل تخلیه باک بنزین
P0741,Chevrolet Malibu 2017,لرزش در تعویض دنده، چراغ چک,کلاچ مبدل گشتاور درگیر نمی‌ماند، شیر برقی TCC معیوب,تعویض شیر برقی TCC، در صورت نیاز تعمیر گیربکس
P0700,Nissan Pathfinder 2018,گیربکس در حالت ایمن، چراغ چک موتور و گیربکس,خطای عمومی سیستم کنترل گیربکس، سنسور سرعت ورودی معیوب,تشخیص با اسکنر تخصصی، تعویض سنسور
P0715,Honda Accord 2019,تعویض دنده سخت، سرعت‌سنج غیرفعال,سنسور سرعت توربین ورودی گیربکس خراب,تعویض سنسور سرعت ورودی
U0100,Ford Explorer 2020,چراغ چک و هشدار,قطع ارتباط با ماژول کنترل موتور (ECM) از طریق شبکه CAN,بررسی کانکتورها و سیم‌کشی CAN، تعویض ECM در صورت نیاز
P1604,Toyota Camry 2016,استارت ضعیف، روشن نشدن,نقص در قابلیت استارت (Startability Malfunction),بررسی سیستم سوخت‌رسانی و جرقه، تعویض استپر موتور یا پمپ بنزین
P0017,Mercedes C300 2018,لرزش موتور، چراغ چک,عدم تطابق موقعیت میل‌لنگ و میل سوپاپ (بانک ۱ سنسور B),تعویض سنسور موقعیت یا رفع مشکل زنجیر تایم
P0101,Hyundai Accent 2017,چراغ چک، شتاب کند,عملکرد نادرست سنسور MAF، فیلتر هوا کثیف,تمیز کردن یا تعویض سنسور MAF، تعویض فیلتر هوا
P0113,Kia Rio 2018,چراغ چک، پنکه رادیاتور مدام کار می‌کند,ولتاژ بالای سنسور دمای هوای ورودی (IAT),تعویض سنسور IAT (معمولاً درون MAF یکپارچه)
B1421,Toyota Highlander 2019,کولر خودکار عملکرد مناسبی ندارد,سنسور نور خورشید (Solar Sensor) خراب,تعویض سنسور نور خورشید روی داشبورد
